Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
Bago,6,57.7666666667,51,36,4,2,69,72,51,3,2,0,0,0,0,0,6,2,0,0,Montreal Royal2015  
Shawn S,12,403.333333333,179,118,18,6,158,132,135,19,14,0,0,0,0,0,15,9,0,0,Montreal Royal2015  
J-P R,15,285.95,162,109,50,19,107,72,68,35,13,0,0,0,0,0,7,1,0,0,Montreal Royal2015  
Yoland C,15,596.333333333,222,150,112,41,283,244,214,47,48,1,3.766,0,0,0,26,8,0,0,Montreal Royal2015  
Eric S,2,37.4833333333,9,4,20,5,8,7,7,1,0,0,0,0,0,0,1,1,0,0,Montreal Royal2015  
Fred P,13,407.133333333,71,44,107,37,128,148,108,5,8,17,4.58841176471,0,0,0,12,3,1,0,Montreal Royal2015  
LP,4,47.9,24,18,24,7,7,6,4,2,0,0,0,0,0,0,0,0,0,0,Montreal Royal2015  
Ray N,15,276.783333333,211,147,31,15,315,310,239,11,15,0,0,0,0,0,14,4,0,0,Montreal Royal2015  
Phil T,12,264.65,32,17,170,48,65,67,56,7,6,45,6.04162790698,0,0,0,7,2,2,0,Montreal Royal2015  
Anonymous,1,0.0,0,0,0,0,8,8,5,2,1,0,0,0,0,0,0,0,0,0,Montreal Royal2015  
Vince H,1,9.13333333333,1,0,6,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,Montreal Royal2015  
Nic V,7,104.033333333,46,27,32,9,55,56,43,4,7,0,0,0,0,0,8,0,0,0,Montreal Royal2015  
Gus C,14,254.933333333,209,136,13,6,394,415,342,2,23,0,0,0,0,1,32,15,0,0,Montreal Royal2015  
Lepagnol,11,187.583333333,113,75,42,11,135,129,103,16,20,13,8.08276923077,1,0,0,22,6,4,0,Montreal Royal2015  
AntoineG,15,644.216666667,87,45,255,78,157,176,121,25,49,22,6.3505,0,0,0,41,6,4,0,Montreal Royal2015  
Max G,13,277.183333333,48,29,169,51,55,46,42,13,1,0,0,0,0,0,1,0,0,0,Montreal Royal2015  
J-L C,15,527.8,99,57,178,60,131,121,101,24,9,2,7.5335,0,0,0,14,3,0,0,Montreal Royal2015  
AntoineL,2,33.5833333333,33,22,0,0,25,24,23,2,4,0,0,0,0,0,3,0,0,0,Montreal Royal2015  
Simon L,3,40.3833333333,4,2,27,13,22,34,21,0,2,0,0,0,0,0,3,0,0,0,Montreal Royal2015  
Arsene A,1,6.06666666667,0,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Montreal Royal2015  
F-X H,15,315.766666667,224,152,28,12,176,142,139,32,20,0,0,0,0,0,16,2,0,0,Montreal Royal2015  
Kevin Gu,13,256.316666667,24,17,174,51,62,72,56,6,7,140,5.90476428571,0,0,0,14,0,12,0,Montreal Royal2015  
Frank M,5,75.5166666667,11,7,53,14,20,22,18,2,1,0,0,0,0,0,1,0,0,0,Montreal Royal2015  
Kevin Gr,13,369.166666667,142,89,132,47,213,194,157,25,21,6,4.248,1,0,0,36,3,0,0,Montreal Royal2015  
Aubut C,1,9.33333333333,1,0,5,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,Montreal Royal2015  
Aubut,3,40.9166666667,4,2,29,7,4,3,3,1,0,0,0,0,0,0,1,0,0,0,Montreal Royal2015  
Nathan D,3,72.7166666667,3,1,42,11,12,8,8,4,0,0,0,0,0,0,1,0,0,0,Montreal Royal2015  
Felix D,11,285.2,44,28,138,42,104,141,85,11,14,1,1.039,0,0,0,9,1,0,0,Montreal Royal2015  
Hendriks,1,16.5166666667,1,0,9,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,Montreal Royal2015  
Ced A. B,1,3.55,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Montreal Royal2015  
Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
,1,0.0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,150,0,0,0,San Diego Growlers2015  
Leggio D,13,362.116666667,159,103,135,37,402,396,369,17,23,0,0,0,0,0,9,8,0,1,San Diego Growlers2015  
Benton A,7,94.9333333333,2,1,79,18,23,19,20,3,3,32,6.6680625,0,0,0,5,0,3,0,San Diego Growlers2015  
Cohen J,13,432.533333333,235,153,27,21,322,285,285,37,29,0,0,0,0,0,18,5,0,0,San Diego Growlers2015  
Goodma J,10,206.966666667,14,8,119,34,46,54,41,2,3,32,6.5004375,0,0,0,3,2,1,0,San Diego Growlers2015  
Sammon A,14,176.85,148,100,8,1,322,326,213,6,4,1,6.884,0,0,0,10,2,0,0,San Diego Growlers2015  
Ackley J,12,221.133333333,176,126,6,3,415,444,331,13,12,0,0,0,0,0,16,8,0,1,San Diego Growlers2015  
Dunn T,12,225.35,15,10,162,33,60,57,54,6,5,0,0,0,0,0,5,1,0,0,San Diego Growlers2015  
Curtis A,12,206.633333333,188,130,13,3,360,340,280,16,36,0,0,0,0,0,24,4,0,1,San Diego Growlers2015  
Lance N,9,356.783333333,65,41,160,37,194,205,173,10,14,86,6.48904651163,0,0,0,14,3,0,0,San Diego Growlers2015  
Purdy T,12,187.616666667,94,63,95,19,110,85,86,24,12,3,7.33933333333,0,0,0,8,1,1,0,San Diego Growlers2015  
Anonymous,1,0.0,0,0,0,0,4,6,2,0,0,0,0,0,0,0,1,3,0,0,San Diego Growlers2015  
Slaugh R,4,62.15,25,16,16,4,35,31,18,4,0,0,0,0,0,0,0,0,0,0,San Diego Growlers2015  
Gibson K,7,329.2,72,48,128,41,235,269,218,16,24,32,7.10575,0,0,1,17,4,0,1,San Diego Growlers2015  
Lenta R,12,301.283333333,154,95,31,15,152,139,130,18,12,0,0,0,0,0,8,0,0,0,San Diego Growlers2015  
Helms K,13,361.983333333,120,73,120,32,118,102,103,15,5,0,0,0,0,0,2,0,0,0,San Diego Growlers2015  
Flock D,11,145.183333333,70,46,44,11,90,80,66,8,2,0,0,0,0,0,3,1,0,0,San Diego Growlers2015  
Wu C,8,124.533333333,91,64,8,1,90,68,67,23,4,0,0,0,0,0,3,1,0,0,San Diego Growlers2015  
Woovon N,4,56.0833333333,2,2,29,5,1,1,1,0,0,2,6.9165,0,0,0,0,0,0,0,San Diego Growlers2015  
Parisi M,9,183.216666667,90,55,49,15,92,77,76,15,9,0,0,0,0,0,5,0,0,0,San Diego Growlers2015  
Clark B,13,235.416666667,28,17,131,35,25,21,21,4,1,0,0,0,0,0,3,0,0,0,San Diego Growlers2015  
Kirkla C,9,160.566666667,71,51,60,13,114,119,90,1,5,24,6.28366666667,0,0,0,13,0,0,0,San Diego Growlers2015  
Griffi W,14,277.816666667,81,58,182,31,167,165,141,13,24,7,5.67585714286,0,0,2,12,1,0,1,San Diego Growlers2015  
Milard S,13,490.4,64,33,242,66,158,139,137,21,14,15,5.63826666667,0,0,0,9,2,2,0,San Diego Growlers2015  
Smith N,12,163.416666667,8,3,120,29,31,37,29,1,3,2,6.121,0,0,0,3,0,0,0,San Diego Growlers2015  
Bridge N,8,165.066666667,28,15,74,18,55,53,45,5,5,0,0,0,0,1,3,1,0,0,San Diego Growlers2015  
Mickle J,14,669.383333333,265,176,150,58,523,516,494,26,61,93,7.08993548387,0,0,5,33,9,2,1,San Diego Growlers2015  
Nicker J,13,334.383333333,31,18,192,57,42,33,32,10,4,0,0,0,0,0,4,0,0,0,San Diego Growlers2015  
Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
,1,0.0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,33,0,0,0,Atlanta Hustle2016  
Allan L,2,38.6833333333,5,3,26,11,21,26,19,1,5,22,7.52340909091,0,0,0,1,1,2,0,Atlanta Hustle2016  
Sun,2,35.6333333333,2,1,19,8,16,16,16,0,2,2,6.9515,0,0,0,3,0,0,0,Atlanta Hustle2016  
Vickroy,2,55.8333333333,6,4,29,13,26,20,22,4,3,1,5.387,0,0,0,1,1,0,0,Atlanta Hustle2016  
Bradham,2,40.95,1,0,27,13,4,1,1,3,0,0,0,0,0,0,0,0,0,0,Atlanta Hustle2016  
Kyle S,2,40.95,26,20,2,1,60,61,47,1,1,0,0,1,0,0,3,2,0,0,Atlanta Hustle2016  
Leonard,2,41.9,26,20,1,1,54,50,46,1,4,0,0,0,0,0,2,1,0,1,Atlanta Hustle2016  
A Olsen,1,28.95,1,1,18,7,8,6,7,1,1,0,0,0,0,0,1,1,0,0,Atlanta Hustle2016  
Breault,1,9.55,0,0,12,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Atlanta Hustle2016  
Dylan,2,32.9833333333,24,17,2,1,62,65,49,3,5,0,0,0,0,0,5,0,0,0,Atlanta Hustle2016  
